"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SKBIANCHE"
"EMILIA-ROMAGNA";"BOLOGNA";"7";"Ministero per le politiche agricole";792963;376335;"229587";"115483";"133397";70710;"19937"
"TRENTINO A.A.";"BOLZANO";"1";"Privatizzazione";369895;180242;"110064";"54931";"66576";23260;"17852"
"TRENTINO A.A.";"BOLZANO";"2";"Obiezione di coscienza";369895;180242;"110568";"55151";"74937";22613;"11080"
"TRENTINO A.A.";"BOLZANO";"3";"Caccia";369895;180242;"110382";"55054";"72682";22296;"13425"
"TRENTINO A.A.";"BOLZANO";"4";"Carriere dei magistrati";369895;180242;"110234";"55002";"78788";13380;"15828"
"TRENTINO A.A.";"BOLZANO";"5";"Ordine dei giornalisti";369895;180242;"109939";"54843";"58244";28585;"20656"
"TRENTINO A.A.";"BOLZANO";"6";"Incarichi extragiudiziari dei magistrati";369895;180242;"110302";"55081";"79763";13325;"15184"
"TRENTINO A.A.";"BOLZANO";"7";"Ministero per le politiche agricole";369895;180242;"111068";"54795";"64833";25587;"17118"
"LOMBARDIA";"BRESCIA";"6";"Incarichi extragiudiziari dei magistrati";887484;426473;"238315";"118548";"187325";27866;"17560"
"LOMBARDIA";"BRESCIA";"5";"Ordine dei giornalisti";887484;426473;"236217";"117359";"140279";67393;"22450"
"LOMBARDIA";"BRESCIA";"4";"Carriere dei magistrati";887484;426473;"237954";"118333";"182494";30528;"19061"
"LOMBARDIA";"BRESCIA";"3";"Caccia";887484;426473;"233237";"115369";"153542";60588;"14178"
"LOMBARDIA";"BRESCIA";"2";"Obiezione di coscienza";887484;426473;"238657";"118602";"157115";61718;"14838"
"LOMBARDIA";"BRESCIA";"1";"Privatizzazione";887484;426473;"237695";"118186";"165123";47301;"19262"
"LOMBARDIA";"BRESCIA";"7";"Ministero per le politiche agricole";887484;426473;"236487";"117470";"152319";58195;"20013"
"PUGLIA";"BRINDISI";"6";"Incarichi extragiudiziari dei magistrati";339404;162811;"83350";"42887";"56130";12478;"11282"
"PUGLIA";"BRINDISI";"7";"Ministero per le politiche agricole";339404;162811;"83210";"42802";"42535";26098;"11106"
"PUGLIA";"BRINDISI";"5";"Ordine dei giornalisti";339404;162811;"83205";"42801";"42996";24288;"12365"
"PUGLIA";"BRINDISI";"4";"Carriere dei magistrati";339404;162811;"83313";"42868";"54150";13973;"11614"
"PUGLIA";"BRINDISI";"3";"Caccia";339404;162811;"83321";"42841";"59228";14070;"7216"
"PUGLIA";"BRINDISI";"2";"Obiezione di coscienza";339404;162811;"83406";"42909";"49237";21038;"9864"
"PUGLIA";"BRINDISI";"1";"Privatizzazione";339404;162811;"83439";"42934";"48860";19112;"11498"
"SARDEGNA";"CAGLIARI";"7";"Ministero per le politiche agricole";645085;314983;"163988";"81297";"94945";49423;"13531"
"SARDEGNA";"CAGLIARI";"6";"Incarichi extragiudiziari dei magistrati";645085;314983;"164714";"81715";"127748";19899;"11563"
"SARDEGNA";"CAGLIARI";"5";"Ordine dei giornalisti";645085;314983;"164013";"81351";"91629";52234;"14218"
"SARDEGNA";"CAGLIARI";"4";"Carriere dei magistrati";645085;314983;"164552";"81659";"122327";23679;"12749"
"SARDEGNA";"CAGLIARI";"3";"Caccia";645085;314983;"164490";"81506";"123474";29530;"7147"
"SARDEGNA";"CAGLIARI";"2";"Obiezione di coscienza";645085;314983;"164947";"81833";"108922";41059;"10113"
"SARDEGNA";"CAGLIARI";"1";"Privatizzazione";645085;314983;"164320";"81532";"107280";37545;"13357"
"SICILIA";"CALTANISSETTA";"5";"Ordine dei giornalisti";275364;134866;"66427";"34404";"32388";19112;"9903"
"SICILIA";"CALTANISSETTA";"1";"Privatizzazione";275364;134866;"66446";"34415";"36995";14857;"9181"
"SICILIA";"CALTANISSETTA";"2";"Obiezione di coscienza";275364;134866;"66474";"34429";"37240";16155;"8381"
"SICILIA";"CALTANISSETTA";"3";"Caccia";275364;134866;"66472";"34428";"42313";12599;"7139"
"SICILIA";"CALTANISSETTA";"4";"Carriere dei magistrati";275364;134866;"66497";"34447";"40442";11766;"9312"
"SICILIA";"CALTANISSETTA";"6";"Incarichi extragiudiziari dei magistrati";275364;134866;"66500";"34451";"41900";10500;"9281"
"SICILIA";"CALTANISSETTA";"7";"Ministero per le politiche agricole";275364;134866;"66409";"34393";"32816";19284;"9392"
"MOLISE";"CAMPOBASSO";"7";"Ministero per le politiche agricole";230040;112603;"58105";"30284";"29710";18395;"7531"
"MOLISE";"CAMPOBASSO";"1";"Privatizzazione";230040;112603;"57844";"30188";"32899";13479;"8469"
"MOLISE";"CAMPOBASSO";"2";"Obiezione di coscienza";230040;112603;"57928";"30202";"34001";14305;"7059"
"MOLISE";"CAMPOBASSO";"3";"Caccia";230040;112603;"58029";"30295";"40398";9806;"5535"
"MOLISE";"CAMPOBASSO";"4";"Carriere dei magistrati";230040;112603;"57942";"30258";"37271";9453;"8430"
"MOLISE";"CAMPOBASSO";"6";"Incarichi extragiudiziari dei magistrati";230040;112603;"57988";"30266";"38816";8466;"7930"
"MOLISE";"CAMPOBASSO";"5";"Ordine dei giornalisti";230040;112603;"57775";"30118";"30181";15967;"8829"
"CAMPANIA";"CASERTA";"1";"Privatizzazione";677942;328221;"154699";"81317";"89238";38031;"20618"
"CAMPANIA";"CASERTA";"2";"Obiezione di coscienza";677942;328221;"154910";"81442";"91416";39128;"18715"
"CAMPANIA";"CASERTA";"3";"Caccia";677942;328221;"154886";"81413";"107172";27387;"14886"
"CAMPANIA";"CASERTA";"4";"Carriere dei magistrati";677942;328221;"154840";"81396";"100236";27491;"21056"
"CAMPANIA";"CASERTA";"5";"Ordine dei giornalisti";677942;328221;"154606";"81221";"80263";46287;"21850"
"CAMPANIA";"CASERTA";"6";"Incarichi extragiudiziari dei magistrati";677942;328221;"154888";"81427";"104396";23946;"20565"
"CAMPANIA";"CASERTA";"7";"Ministero per le politiche agricole";677942;328221;"154623";"81250";"77977";49111;"21167"
"SICILIA";"CATANIA";"7";"Ministero per le politiche agricole";892106;430290;"279662";"143453";"151244";79565;"28410"
"SICILIA";"CATANIA";"2";"Obiezione di coscienza";892106;430290;"280263";"143797";"168236";68819;"24439"
"SICILIA";"CATANIA";"4";"Carriere dei magistrati";892106;430290;"280001";"143664";"183669";47731;"28114"
"SICILIA";"CATANIA";"5";"Ordine dei giornalisti";892106;430290;"279738";"143495";"145161";84863;"29400"
"SICILIA";"CATANIA";"6";"Incarichi extragiudiziari dei magistrati";892106;430290;"280105";"143734";"190200";42827;"27211"
"SICILIA";"CATANIA";"1";"Privatizzazione";892106;430290;"279914";"143614";"169244";60958;"28410"
"SICILIA";"CATANIA";"3";"Caccia";892106;430290;"280204";"143719";"196083";46662;"20159"
"CALABRIA";"CATANZARO";"7";"Ministero per le politiche agricole";332986;162504;"73310";"39373";"37700";21593;"10086"
"CALABRIA";"CATANZARO";"5";"Ordine dei giornalisti";332986;162504;"73348";"39389";"39813";18998;"10504"
"CALABRIA";"CATANZARO";"1";"Privatizzazione";332986;162504;"73383";"39406";"42469";16402;"10307"
